,Body.I__Ixx,Body.I__Iyy,Body.I__Izz,Body.mass,Body.pos__x,Body.pos__z,Wheel.fl.pos__x,Wheel.fl.pos__y,Wheel.rl.pos__y,Response_Time_YawRate,Response_Time_LatAcc,Peak_RollRate,SteadyState_SideSlip,SteadyState_Roll,SteadyState_SWA,Delay_YawRate_LatAcc,Gain_YawRate_SWA,Gain_LatAcc_SWA,Overshoot_Ratio_YawRate,Overshoot_Ratio_LatAcc,Overshoot_Ratio_Roll
mean,682.859803854928,2988.747065650011,3308.581516923121,1427.7616877372207,2.169035381275708,0.5913143583205596,3.3470328819776043,0.7910201177146716,0.7910325493780894,0.16600110694112388,0.3027596781704986,9.488426253405816,-0.49463786204546567,2.123529611259401,34.61696069790535,0.13675857122937476,36.12289315675914,1.7734686788480842,9.796150329510743,3.9107381402028634,7.058778978365939
std,205.43830310046516,1083.2598624853074,1192.439158276919,387.6150703860455,0.1648540862177977,0.08388348951481212,0.3057910947036093,0.06821079176627819,0.08215524600858888,0.05488760326724966,0.06301950450534884,3.187161786299998,0.2481522355592963,0.714484477443279,4.675250419601519,0.013202014152203175,4.7641339077124645,0.23746341099930426,7.388835843187931,2.567552048066411,6.16812892309146
